ts in ms,sensor id,mapped id,number,full name,league id,group id,group name,x in m,y in m,z in m
1750,35906,2874,49,Lovelace Lifter,1072735,1,Quantum Quicks,13.045,10.214,1.6
1800,46573,2186,44,Curie Crosser,2584124,1,Quantum Quicks,6.454,13.612,1.6
1800,28485,3845,1,Kepler Keeper,3646225,2,Cosmic Chargers,23.038,10.651,1.6
1800,16865,1312,19,Franklin Forward,1688828,2,Cosmic Chargers,37.411,10.383,1.6
1800,16438,2454,73,Edison Enforcer,2607408,1,Quantum Quicks,18.021,1.954,1.6
1800,40849,2180,92,Ball,4460903,3,Ball,39.284,9.785,0.172
1800,36677,1373,76,Schrodinger Scorer,4994299,1,Quantum Quicks,13.25,19.59,1.6
1800,36434,1640,96,Feynman Forward,4498227,1,Quantum Quicks,0.53,9.976,1.6
1800,35906,2874,49,Lovelace Lifter,1072735,1,Quantum Quicks,12.99,10.186,1.6
1850,46573,2186,44,Curie Crosser,2584124,1,Quantum Quicks,6.508,13.597,1.6
1850,28485,3845,1,Kepler Keeper,3646225,2,Cosmic Chargers,23.114,10.501,1.6
1850,16865,1312,19,Franklin Forward,1688828,2,Cosmic Chargers,37.485,10.383,1.6
1850,16438,2454,73,Edison Enforcer,2607408,1,Quantum Quicks,18.04,1.856,1.6
1850,40849,2180,92,Ball,4460903,3,Ball,39.363,9.754,0.08
1850,36677,1373,76,Schrodinger Scorer,4994299,1,Quantum Quicks,13.25,19.543,1.6
1850,36434,1640,96,Feynman Forward,4498227,1,Quantum Quicks,0.536,9.986,1.6
1850,35906,2874,49,Lovelace Lifter,1072735,1,Quantum Quicks,12.945,10.166,1.6
1900,46573,2186,44,Curie Crosser,2584124,1,Quantum Quicks,6.568,13.583,1.6
1900,28485,3845,1,Kepler Keeper,3646225,2,Cosmic Chargers,23.197,10.362,1.6
1900,16865,1312,19,Franklin Forward,1688828,2,Cosmic Chargers,37.559,10.383,1.6
1900,16438,2454,73,Edison Enforcer,2607408,1,Quantum Quicks,18.059,1.759,1.6
1900,40849,2180,92,Ball,4460903,3,Ball,39.416,9.719,0.036
1900,36677,1373,76,Schrodinger Scorer,4994299,1,Quantum Quicks,13.25,19.495,1.6
